一级模块,二级模块,功能描述,示例图,补充逻辑,,,,,,,,,,,,,,,,
原型地址,,https://arifinfirman788-blip.github.io/HuangxiaoxiV4.0,,,,,,,,,,,,,,,,,,
小程序架构,,老版小程序架构迁移（包含支付、登录）,,,,,,,,,,,,,,,,,,
账户对接,,1、用手机号打通各智能体的账户,,,,,,,,,,,,,,,,,,
首页,提示语,1、支持后台配置提示语,,,,,,,,,,,,,,,,,,
,图标,"1、与行程提醒卡片关联，当行程提醒卡片为收起状态时，展示趴着的黄小西；当行程提醒卡片为展开状态时，展示站着的黄小西；
2、两个图标支持后台配置",,,,,,,,,,,,,,,,,,
,行程提醒卡片,"1、关联【行程】模块“已开始”的行程，展示正在进行中的行程节点
2、卡片显示类型：交通（航班、高铁、自驾）、美食、景区、酒店
3、当用户未开启任何行程时，显示暂无进行中的行程
4、节点类型：即将开始、进行中", ,,,,,,,,,,,,,,,,,
,公告,点击进入“原黄小西公告”二级页面,,,,,,,,,,,,,,,,,,
,翻译,点击翻译图标，进入指引页面,补充指引页面原型,,,,,,,,,,,,,,,,,
,智能体卡片,"1、支持筛选智能体类型，根据不同类型展示智能体卡片
2、智能体卡片：
1）展示内容：卡片展示智能体名称、描述、背景
2）背景类型：视频、图片
2）堆叠展示智能体卡片，支持左右滑动切换卡片；一组卡片循环展示
3、展示逻辑：
1）精选：旅行规划、旅居设计、旅游记录；景区、酒店、餐厅排名前三的智能体
2）景点、餐厅、酒店、个人智能体展示逻辑：
当用户开启地理位置时，根据地理位置，取20公里以内的数据（本次只限制酒店智能体），根据距离由近到远展示智能体卡片；
当用户未开启地理位置时，根据评分由高到低展示智能体卡片。",,,,,,,,,,,,,,,,,,
,问答框,"1、支持用户输入问题
2、支持用户点击发送后，携带问题进入门户页面进行问答",,,,,,,,,,,,,,,,,,
,底部导航,首页、行程、我的,,,,,,,,,,,,,,,,,,
行程,精选线路,"1、展示线路商品列表，支持点击卡片后跳转到线路商品详情页；
2、数据来源：金汇商品数据",,,,,,,,,,,,,,,,,,
,我的行程,"1、数据来源：展示收藏的行程
2、筛选：支持用户通过选择时间（年/月）和状态筛选对应的行程；当筛选条件下无行程时，显示缺省页，提示“暂无行程，快去规划你的第一次旅行吧”
1）时间支持筛选当前年和前后各一年
3、行程列表排序：先按状态排序（进行中-计划中-已完成），再按时间从近到远排序",,,,,,,,,,,,,,,,,,
,,"4、卡片展示要素：
1）左上角：计划中、进行中、已完成
当用户未开始行程时，显示计划中；当用户已开始行程时，显示进行中；当用户结束行程时，显示已完成。
2）右上角：开始行程、提前结束
【详细见5】
3）卡片标题：显示行程标题，即用户问题
4）开始时间、行程天数
5）卡片背景：展示行程中第一个景点的图片
当无景点时，显示默认图片。",,,,,,,,,,,,,,,,,,
