字段,前端显示,本期是否有智能体,显示位置,卡片视觉重点,卡片核心字段要求,卡片标签,卡片tips（AI 生成内容）,点击卡片,基础服务 (通用),定制服务 (需接入智能体),跟团游,备注,,,,,,,,,,,,,,,,,,
航班、火车、自驾,交通（航班、火车、自驾）,否,行程详情,路线/时刻表,班次号 (G1234)、起终点、预计耗时/时间区间,,"1、""站内换乘预留20分钟""
2、""历史准点率 95%""","无智能体：进入详情页【赵波；我行的页面接口】
智能体：进入智能体问答页面【暂无智能体】",一键导航: 唤起地图导航，支持用户从当前位置导航到起点的机场/火车站【逸群】,"值机选座/在线选座: 在线办理值机/高铁选座
改签退票: 接入航司/铁道系统
接送服务: 预约专车服务
【暂无交通智能体，无对接人，本期交通不显示这三项服务】",,,,,,,,,,,,,,,,,,,,
景区、打卡,景点,是,"首页,问答页,行程详情",沉浸感大图/视频,景区名称、景区等级 (5A)、进去评分、门票价格、地理位置,打卡地、亲子、徒步等,"1、""适合亲子，步行少""
2、""最佳机位在观瀑台""","无智能体：进入详情页【金汇】
智能体：进入智能体问答页面【贵旅数网-黄松】","购买门票: 点击进入门票详情页；免费景区和跟团游不显示该项【对接金汇开发的景区详情页面】
一键导航: 唤起地图导航【逸群】","游玩攻略：点击进入智能体调起问答：携带问题“xxx景区游玩攻略”；
问答页展示问题为“游玩攻略”，同时智能体给出答案；
【对接贵旅数网-黄松】",个人智能体（导游）,"本期不做：
（1）智能导览: AR/语音伴游，进入该景区智能体的伴游页面
（2）电话咨询: 点击后调起电话，拨打景区热线【骆克】",,,,,,,,,,,,,,,,,,
美食,美食,否,"问答页,行程详情",诱人菜品特写,大众评分、人均消费,菜系、必打卡等,"1、 ""Top3: 酸汤鱼, 米豆腐...""
2、""辣度较高，建议微辣""",无智能体：进入详情页【赵波】,餐厅推荐: 点击后进入黄小西门户，携带“餐厅推荐”，推荐该美食相关的餐厅【骆克】,待定,,,,,,,,,,,,,,,,,,,,
餐饮（餐厅）,餐饮,是,"首页,问答页",餐厅环境,大众评分、星级、人均消费、位置,菜系、必打卡等,1、晚高峰包厢建议提前预约,"无智能体：不跳转
智能体：进入智能体问答页面【对接金汇-王园】","一键导航：唤起地图导航【逸群】
电话咨询：点击后调起电话，拨打餐厅电话【骆克】","预定包厢：点击进入智能体调起问答：携带问题“预定包厢”；
问答页展示问题为“预定包厢”，同时智能体给出答案；
查看菜单：点击进入智能体调起问答，携带问题“查看菜单”
问答页展示问题为“查看菜单”，同时智能体给出答案。
【对接金汇-王园】",,餐厅本期无详情页,,,,,,,,,,,,,,,,,,
酒店,酒店,是,"首页,问答页,行程详情",房型/环境图,酒店名称、星级/钻级、地理位置,酒店评价标签,"1、""建议20:00前入住""
2、""楼下有便利店""","无智能体：进入详情页【赵波】
智能体：进入智能体问答页面【对接金汇-王园】","酒店订房：点击进入酒店详情页；跟团游无该功能【金汇-王园】
一键导航: 点击后调起地图导航，支持用户从当前位置导航到酒店【逸群】
联系前台: 点击后调起电话，拨打酒店电话【骆克】","酒店服务:点击进入智能体调起问答，携带问题“酒店提供什么服务”
问答页展示问题为“酒店提供服务”，同时智能体给出答案；
【对接金汇-王园】",,"本期不做：
（1）客房服务: 点击进入智能体调起问答，携带问题“客房服务”；
问答页展示问题为“客房服务”，同时智能体给出答案；
（2）周边推荐: 进入智能体调起问答，携带问题“以默认位置进行周边推荐”；
问答页展示问题为“周边推荐”，同时智能体给出答案；",,,,,,,,,,,,,,,,,,
自定义活动,自定义活动,否,行程详情,氛围图/插画,用户直接输入的位置,用户自己输入的内容,,不可跳转,,,,"本期不做：
1、tips：
（1）""附近逛街/发呆""
（2）""若下雨可去博物馆""
2、功能按钮：
查看地图: 打开地图，在地图中显示用户当前位置【逸群】",,,,,,,,,,,,,,,,,,
数字分身（个人智能体）,数字分身,是,"首页,问答页",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
