类型,,推荐逻辑
景点/特色打卡地,规划类,"根据用户问题和规划器结果展示对应景点卡片，有智能体的展示智能体卡片；
卡片按照行程顺序展示。"
,推荐类,"1、根据POI推荐（如联合广场附近的景点）：以该POI为圆心，优先推荐60公里以内的景点，同时景点按照评分从高到低推荐10个；
2、根据行政区域推荐（如贵阳景点）：关联用户提问的地区，按照【景点综合评分】从高到低进行推荐，优先推荐top10景点的卡片"
酒店/民宿,规划类,按照景点到酒店的距离，限定在10公里以内，从近到远推荐3家酒店
,推荐类,"1、根据POI推荐：以该POI为圆心，优先推荐10公里以内的酒店，按由近到远排序，推荐top10；
2、根据行政区域推荐：关联用户提问的地区，按照酒店的评分从高到低进行排序，推荐top10。"
餐厅,推荐类,"1、根据POI推荐：以该POI为圆心，优先推荐50公里以内的酒店，按由近到远排序，推荐top10；
2、根据行政区域推荐：关联用户提问的地区，按照酒店的评分从高到低进行排序，优先推荐top10，按评分由高到低排序。"
,规划类,按照规划中中午最后一个景点或当天最后一个景点的区县，推荐当地的特色美食
个人智能体（数字分身）,推荐类,使用个人智能体的三级标签作为命中词，个人智能体将三级标签作为三个字段存到数据库并同步至数仓，数仓将数据同步至融汇，用户提问后通过大模型识别并精准匹配一至三级标签，命中即推荐
文娱/民俗活动,规划类,当用户提问中出现民俗活动、文娱活动等字样，按照活动的位置和时间规划行程
,推荐类,"1、根据POI推荐：以该POI为圆心，优先推荐60公里以内的活动，同时活动按照评分从高到低推荐5个；
2、根据行政区域推荐：关联用户提问的地区，按照民俗活动的【热度】从高到低进行排序推荐5个，支持根据【热度】从高到底顺位进行"
美食,推荐类,"1、根据POI推荐：以该POI为圆心，优先推荐50公里以内的酒店，按由近到远排序，推荐top10；
2、根据行政区域推荐：关联用户提问的地区，按照酒店的评分从高到低进行排序，优先推荐top10，按评分由高到低排序。"
