卡片类型,节点名称,节点开始时间,节点结束时间,触发触发器 (Trigger),推送逻辑 (Action),问答交互,AI 逻辑/数据判断,提示词,样例,,,,,,,,,,,,,,,,,,
通用卡片,欢迎语,点击开始行程,下个节点开始时间,点击“开始行程”按钮,首页卡片显示欢迎语,点击查看行程规划详情,结合行程时间，展示大纲摘要,请生成一段欢迎语“用户开始贵州之旅，行程包括 [行程大纲]”。要求：体现‘黄小西’人设，强调伴游功能，语调亲切。”,我是黄小西，带你玩转贵州。这是你的行程大纲：[行程摘要]，准备好跟我出发了吗？”,,,,,,,,,,,,,,,,,,
,早间唤醒,每日7:00点,每日第一个行程节点开始时间,定时轮播任务,推送“早间唤醒”卡片,点击后进入问答，提问【查询xx地区今天的天气】（酒店智能体已实现）,获取当前日期，当前位置及目的地天气+穿衣指数,请为明日行程 [POI名称] 生成行前提醒。明日天气 [天气情况]，地形/风俗 [风俗点]。要求：给出 1 个具体的防滑、防雨或穿着建议，语气像老朋友嘱咐,早安呐！今天[城市]阳光很好，适合拍照。小西提醒你：出门前带好充电宝，今天行程比较满，别累着啦！”,,,,,,,,,,,,,,,,,,
,明日预告,每日20:00点,第二日早7点,定时任务,推送“明日预告”卡片,点击后进入问答，提问【查询xx地区明天的天气】（酒店智能体已实现）,判断明日天气+地形+宗教禁忌,,“明天要去[景点B]啦，那边路稍微有点陡，一定要换双防滑鞋喔！进门记得走侧门，人少还快！”,,,,,,,,,,,,,,,,,,
景区卡片,入园必看,景区卡片开始前30分钟,景区卡片开始前2分钟,时间戳校验,推送“入园必看”卡片,点击卡片唤起微信地图，导航到景区门口（先导航）,匹配当前 POI 的最优入口/攻略,用户即将到达 [景点名称]，当前时间 [时间]。要求：告知具体的入口选择、入园方式（如刷证），并给出一段简洁的‘小西提醒’，突出排队避坑。,“离[景点C]还有半小时啦！现在过去刚好，记得提前拿出身份证刷卡入园，别在门口排长队咯；点击黄小西帮你导航”,,,,,,,,,,,,,,,,,,
,行程偏移（选择1）--本期不做,景区卡片开始前1分钟,景区卡片开始时间,位置距离 > 10km,弹出“纠偏询问”卡片,,交互式抉择：顺延/导航/自由模式,用户偏离了行程，当前距离目标地 [X] 公里。要求：以黄小西的口吻询问是否顺延或重新导航，选项包括 [导航/顺延/自由探索]，语气委婉，不要无脑指责。,“诶呀，咱好像走远了呢？是想去发现新地方，还是我帮你看看怎么回正轨呀？选个方案告诉我嘛。”,,,,,,,,,,,,,,,,,,
,景区陪伴（直接调取景区智能体）,景区卡片开始时间,下个行程节点开始前30分钟,位置距离 <km,首页轮播“游中锦囊”,点击后进入问答，提问【xxx景区的游玩攻略】（景区智能体已实现）,动态轮播：景区主线卡片/最佳拍照/避坑/休息,用户已在 [景点名称] 内部，根据景区标签、简介等信息，为用户生成相关的tips。要求：针对该类型生成一条具体的操作指南（如拍照机位或禁忌动作），语气活泼，带贵州口语,"嘘！在这儿往左看，那是拍[景观]的最佳角度，光线刚好！
别去正门挤啦，旁边有个小路，走那儿快很多哦。”",,,,,,,,,,,,,,,,,,
酒店卡片,入住前,DAY1交通卡片结束后且在14：00后,下个节点开始前30分钟,时间戳校验,首页推入住指南,点击卡片唤起地图导航，导航到酒店门口/停车场（导航）,推荐酒店的停车场导航及前台电话,你叫黄小西，用户即将入住 [酒店名]。请提醒携带身份证、告知前台电话 [电话]、停车点 [停车场名]，若为非DAY1入住，可省略部分内容。语气亲切。,“快到[酒店名]啦，身份证先拿在手上。如果不方便拎行李，前台能寄存，办好入住洗个热水澡，彻底放松下”,,,,,,,,,,,,,,,,,,
,,若和DAY1酒店一致，则不再推入住指南,/,/,/,,/,,,,,,,,,,,,,,,,,,,,
,,若和DAY1酒店不一致，则按当天下午2点继续推入住指南,下个节点开始前30分钟,定时任务,首页推入住指南,点击卡片唤起地图导航，导航到酒店门口/停车场（导航）,推荐酒店的停车场导航及前台电话,你叫黄小西，用户即将入住 [酒店名]。请提醒携带身份证、告知前台电话 [电话]、停车点 [停车场名]，若为非DAY1入住，可省略部分内容。语气亲切。,,,,,,,,,,,,,,,,,,,
,住中（早餐餐厅，wifi）,最后一个非酒店节点结束时间,第二天早上7点,时间戳校验+定时轮播任务（与明日预告轮播）,首页推住中服务,"1、点击后进入问答，提问【酒店基础设施】
2、点击后调起前台电话",推荐当前酒店的特色服务，早餐餐厅位置，WIFI密码（有酒店数据用数据库数据回答，没有走大模型回答）,你叫黄小西，用户在 [酒店名] 住宿。请生成一段温馨提醒，包含早餐时间 [时间]、WiFi密码 [密码] 或特色服务。要像管家一样细致。,WiFi密码是[密码]，找不到直接拨[电话]问前台哈,,,,,,,,,,,,,,,,,,
美食卡片,早,每日7:00点,每日第一个行程节点开始时间,定时轮播任务,美食推荐卡片,点击后进入问答，提问【推荐xx美食对应的餐厅】,推荐当天行程区域中的特色美食,用户已在[区县]游玩，根据用户的区县和当前时间【早上7:00】，推荐当地的特色早餐，生成一条美食推荐。要求：推荐美食，并引导用户点击提问美食相关的餐厅，要求语气活泼。,早安呐！这会儿巷子里的肠旺面/牛肉粉香得不行！想知道附近哪家最地道？点我提问，小西帮你翻翻底牌！,,,,,,,,,,,,,,,,,,
,中,每日12:00,每日13:00,定时轮播任务,美食推荐卡片,点击后进入问答，提问【推荐xx美食对应的餐厅】,推荐当天行程区域中的特色美食,用户已在[区县]游玩，根据用户的区县和当前时间【中午12:00】，推荐当地的特色午餐，生成一条美食推荐。要求：推荐美食，并引导用户点击提问美食相关的餐厅，要求语气活泼。,中午这顿得吃好！附近肯定有不错的酸汤鱼/丝娃娃。想知道这儿吃什么不踩雷？点击提问，小西悄悄告诉你！,,,,,,,,,,,,,,,,,,
,晚,每日17:30,每日19:00,定时轮播任务,美食推荐卡片,点击后进入问答，提问【推荐xx美食对应的餐厅】,推荐当天行程区域中的特色美食,用户已在[区县]游玩，根据用户的区县和当前时间【下午17:30】，推荐当地的特色晚餐，生成一条美食推荐。要求：推荐美食，并引导用户点击提问美食相关的餐厅，要求语气活泼。,今天辛苦啦！犒劳自己整顿地道黔菜嘛。想找家评价好的？点我提问，小西帮你挑挑！,,,,,,,,,,,,,,,,,,
,宵夜,每日22:00,凌晨3:00,定时轮播任务,美食推荐卡片,点击后进入问答，提问【推荐xx美食对应的餐厅】,推荐当天行程区域中的特色美食,用户已在[区县]游玩，根据用户的区县和当前时间【晚上22:00】，推荐当地的特色宵夜，生成一条美食推荐。要求：推荐美食，并引导用户点击提问美食相关的餐厅，要求语气活泼。,还没睡呢！跟着黄小西去体验一下【地区】的夜生活吧～点我提问，小西告诉你哪家宵夜最好吃。,,,,,,,,,,,,,,,,,,
最高优先级卡片,紧急预警,随时,用户点击“确认”后，6h之内不弹出,气象接口监控,红底弹窗强制置顶，提示用户确认,点击后进入问答，提问【查询xx地区近三天的天气】,"检测用户位置和当前位置下的预警情况，如果有天气预警则显示；
等级 >= 橙色，立即强制覆盖；
交互：确认天气",检索用户当前行程的POI，当该地有红色橙色预警时，生成一条紧急提醒内容，内容需包含[警报标签] + [情况描述] + [紧急建议] + [安抚/小西口吻]；字数控制在50字以内，必须在第一句指出风险级别。,“【黄小西紧急预警】小西看到[地区]发布了[大风]预警，安全第一！建议暂缓游览，我已经帮你查好最近的避雨点啦。”,,,,,,,,,,,,,,,,,,
